authors,crawl_time,download_url,keyword,publication,publicationDate,publisher,search,snippet,title
,2019-10-15 19:18:09,https://dl.acm.org/ft_gateway.cfm?id=3230633&ftid=2002633&dwn=1,"Biometrics, gait recognition, individual identification","ACM Computing Surveys (CSUR): Volume 51 Issue 5, January 2019",June 2018,ACM,51,"Recognizing people by their gait has become more and more popular nowadays due to the following reasons. First, gait recognition can work well remotely. Second, gait recognition can be done from low-resolution videos and with simple instrumentation. Third, gait recognition can be done without the cooperation of individuals. Fourth, gait ...",A Survey on Gait Recognition
Martin C. Rinard,2019-10-15 19:18:09,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4104/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2018,ACM,51,,Technical perspective: Patching program errors
"David Mease,Abraham J. Wyner,Andreas Buja",2019-10-15 19:18:09,https://dl.acm.org/ft_gateway.cfm?id=1248675&ftid=423029&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",October 2018,JMLR.org,51," The standard by which binary classifiers are usually judged, misclassification error, assumes equal costs of misclassifying the two classes or, equivalently, classifying at the 1/2 quantile of the conditional class probability function P[y=1|x]. Boosted classification trees are known to perform quite well for such problems. In this article we consider ...",Boosted Classification Trees and Class Probability/Quantile Estimation
"Jungmin Son,Rajkumar Buyya",2019-10-15 19:18:09,https://dl.acm.org/ft_gateway.cfm?id=3190617&ftid=1976441&dwn=1,"Cloud computing, data center networks, software-defined networking","ACM Computing Surveys (CSUR): Volume 51 Issue 3, July 2018",February 2008,ACM,51,"Software-Defined Networking (SDN) opened up new opportunities in networking with its concept of the segregated control plane from the data-forwarding hardware, which enables the network to be programmable, adjustable, and reconfigurable dynamically. These characteristics can bring numerous benefits to cloud computing, where dynamic changes and reconfiguration are necessary with its ...",A Taxonomy of Software-Defined Networking (SDN)-Enabled Cloud Computing
"Cynthia Dwork,Moni Naor,Amit Sahai",2019-10-15 19:18:10,https://dl.acm.org/ft_gateway.cfm?id=1039489&ftid=297438&dwn=1,"cryptographic protocols, Zero knowledge, composition","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",October 2018,ACM,51,"Concurrent executions of a zero-knowledge protocol by a single prover (with one or more verifiers) may leak information and may not be zero-knowledge in toto . In this article, we study the problem of maintaining zero-knowledge.We introduce the notion of an (α, β) timing constraint : for any two processors ...",Concurrent zero-knowledge
"Lila Kari,Grzegorz Rozenberg",2019-10-15 19:18:10,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/511/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",June 2018,ACM,51,Natural computing builds a bridge between computer science and natural sciences.,The many facets of natural computing
David Roman,2019-10-15 19:18:10,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/4102/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2018,ACM,51,,Previewing the new CACM web site
"Camil Demetrescu,Giuseppe F. Italiano",2019-10-15 19:18:10,https://dl.acm.org/ft_gateway.cfm?id=1039492&ftid=297441&dwn=1,"Dynamic graph algorithms, shortest paths","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",October 2018,ACM,51,We study novel combinatorial properties of graphs that allow us to devise a completely new approach to dynamic all pairs shortest paths problems. Our approach yields a fully dynamic algorithm for general directed graphs with non-negative real-valued edge weights that supports any sequence of operations in O ( n 2 ...,A new approach to dynamic all pairs shortest paths
"Yirong Lv,Bin Sun,Qinyi Luo,Jing Wang,Zhibin Yu,Xuehai Qian",2019-10-15 19:18:10,https://dl.acm.org/ft_gateway.cfm?id=3343317&ftid=2069683&dwn=1,"big data, computer architecture, data mining, performance counters",MICRO-51: Proceedings of the 51st Annual IEEE/ACM International Symposium on Microarchitecture,February 2008,IEEE Press,51,"Modern processors typically provide a small number of hardware performance counters to capture a large number of microarchitecture events 1 . These counters can easily generate a huge amount (e.g., GB or TB per day) of data, which we call big performance data in cloud computing platforms with more than ...",CounterMiner: mining big performance data from hardware counters
"Mads Dyrholm,Christoforos Christoforou,Lucas C. Parra",2019-10-15 19:18:10,https://dl.acm.org/ft_gateway.cfm?id=1248696&ftid=423050&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2016,JMLR.org,51,"Factor analysis and discriminant analysis are often used as complementary approaches to identify linear components in two dimensional data arrays. For three dimensional arrays, which may organize data in dimensions such as space, time, and trials, the opportunity arises to combine these two approaches. A new method, Bilinear Discriminant Component ...",Bilinear Discriminant Component Analysis
"Ryan M. Rifkin,Ross A. Lippert",2019-10-15 19:18:10,https://dl.acm.org/ft_gateway.cfm?id=1248676&ftid=423030&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",August 2016,JMLR.org,51,"Regularization is an approach to function learning that balances fit and smoothness. In practice, we search for a function f with a finite representation f = Σ i c i φ i (·). In most treatments, the c i are the primary objects of study. We consider value regularization , ...",Value Regularization and Fenchel Duality
Diane Crawford,2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/2/5446/fulltext,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008",October 2018,ACM,51,,Editorial pointers
"Jacob Slonim,Sam Scully,Michael McAllister",2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/513/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",June 2018,ACM,51,What should be done to reverse falling CS enrollment in the Canadian education system?,Crossroads for Canadian CS enrollment
Ian Horrocks,2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3361/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",January 2018,ACM,51,"How ontologies provide the semantics, as explained here with the help of Harry Potter and his owl Hedwig.",Ontologies and the semantic web
Peter J. Denning,2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5477/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",February 2008,ACM,51,"After a 10-year struggle within ACM to define a Journal for All Members (JAM), a ""new"" Communications was launched in the cold of February 1983. CACM was to leave behind its pure research past and transform into a professionally useful, interesting, monthly magazine for all members. The CACM that evolved ...",Déjà vu all over again
Adrienne Decker,2019-10-15 19:18:11,https://dl.acm.org/ft_gateway.cfm?id=3310223&ftid=2037839&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 1, January 2019",December 2016,ACM,51,,Open access to past SIGCSE proceedings
Leah Hoffmann,2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/533/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",June 2018,ACM,51,"Admired and respected by his students and colleagues, Randy Pausch will be remembered as a devoted teacher and innovative researcher.",An inspiring legacy
George V. Neville-Neil,2019-10-15 19:18:11,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3357/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",February 2008,ACM,51,Highlighting the importance of doing one's best in view of code longevity and the impermanence of the changineer .,Kode vicious: Permanence and change
"Marta Arias,Roni Khardon,Jérôme Maloberti",2019-10-15 19:18:12,https://dl.acm.org/ft_gateway.cfm?id=1248679&ftid=423033&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2016,JMLR.org,51,"The paper introduces LOGAN-H  a system for learning first-order function-free Horn expressions from interpretations. The system is based on an algorithm that learns by asking questions and that was proved correct in previous work. The current paper shows how the algorithm can be implemented in a practical system, and ...",Learning Horn Expressions with LOGAN-H
Karen Davis,2019-10-15 19:18:12,https://dl.acm.org/ft_gateway.cfm?id=3329109&ftid=2053189&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",August 2016,ACM,51,"In this feature of the Bulletin, we highlight members of the SIGCSE community. In this issue, Bulletin co-editor Karen Davis interviewed Maureen Doyle. Maureen Doyle is Professor and Chair of Computer Science at Northern Kentucky University in greater Cincinnati. Maureen currently serves as a co-Chair of the Academic Alliance for ...",Member spotlight
,2019-10-15 19:18:12,https://dl.acm.org/ft_gateway.cfm?id=1409360&ftid=573485&dwn=1,,,October 2018,,51,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008"
Peter Winkler,2019-10-15 19:18:12,https://dl.acm.org/https://cacm.acm.org/magazines/2008/11/551/fulltext,,"Communications of the ACM - Remembering Jim Gray: Volume 51 Issue 11, November 2008",June 2018,ACM,51,"Welcome to three new challenging mathematical puzzles. Solutions to the first two will be published next month; the third is as yet unsolved, so you may need extra luck with that one. Here, I concentrate on circular food, so you might want to eat something before jumping in.",Puzzled: Circular food
Mache Creeger,2019-10-15 19:18:12,https://dl.acm.org/https://cacm.acm.org/magazines/2008/8/5357/fulltext,,"Communications of the ACM - Designing games with a purpose: Volume 51 Issue 8, August 2008",January 2018,ACM,51,Leaders in the storage world offer valuable advice for making more effective architecture and technology decisions.,CTO Roundtable: Storage Part I
Leah Hoffmann,2019-10-15 19:18:12,https://dl.acm.org/https://cacm.acm.org/magazines/2008/12/3350/fulltext,,"Communications of the ACM - Surviving the data deluge: Volume 51 Issue 12, December 2008",February 2008,ACM,51,"The Grace Hopper Celebration featured technical talks, workshops, networking events, and lively discussions about increasing the number of women in computer science .",Making a difference
"Kayvon Fatahalian,Mike Houston",2019-10-15 19:18:12,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/522/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",May 2018,ACM,51,"As the line between GPUs and CPUs begins to blur, it's important to understand what makes GPUs tick.",A closer look at GPUs
"Nick Falkner,Petri Ihantola",2019-10-15 19:18:12,https://dl.acm.org/ft_gateway.cfm?id=3355506&ftid=2078624&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 3, July 2019",December 2016,ACM,51,"Koli Calling is one of the leading international conferences dedicated to the scholarship of teaching and learning and to education research in the computing disciplines. Koli Calling is a single-track conference for original and novel work with research, practice, and systems presentations as well as a keynote and invited talks. ...",Koli Calling 2019 call for submissions
Karen Davis,2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=3355509&ftid=2078627&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 3, July 2019",August 2016,ACM,51,"In this feature of the Bulletin, we highlight members of the SIGCSE community. In this issue, Bulletin co-editor Karen Davis interviewed Amber Settle.",Member spotlight
,2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=1349026&ftid=540583&dwn=1,,,October 2018,,51,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008"
Patrick Kurp,2019-10-15 19:18:13,https://dl.acm.org/https://cacm.acm.org/magazines/2008/10/534/fulltext,,"Communications of the ACM: Volume 51 Issue 10, October 2008",June 2018,ACM,51,Are you ready for a personal energy meter?,Green computing
Michael Ross,2019-10-15 19:18:13,https://dl.acm.org/https://cacm.acm.org/magazines/2008/8/5342/fulltext,,"Communications of the ACM - Designing games with a purpose: Volume 51 Issue 8, August 2008",January 2018,ACM,51,"Both melancholy and reverential, the Jim Gray Tribute at the University of California at Berkeley honored one of computer science's leading pioneers and visionaries.",Remembering Jim
Michiel Smid,2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=1151787&type=pdf,"computational geometry, minimum spanning trees, spanners",CATS '06: Proceedings of the 12th Computing: The Australasian Theroy Symposium - Volume 51,May 2018,"Australian Computer Society, Inc.",51,"An O ( n log n )-time algorithm is presented that, when given a set S of n points in R d and an integer k with 0 ≤ k ≤ n , computes a graph with vertex set S , that contains at most n - 1 + k ...",Geometric spanners with few edges and degree five
Susan Rodger,2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=3329110&ftid=2053192&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",December 2016,ACM,51,"The election for the next SIGCSE Board is upon us. The candidate slate was announced by ACM in January, appeared in the SIGCSE Bulletin January 2019 edition, and is listed below. SIGCSE members should have received an email from ACM on April 2 to start voting. This email included biographical ...",Vote for the next SIGCSE board
,2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=3200143&ftid=1953859&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",August 2016,ACM,51,"George E. Collins passed away on 21st November 2017 in Madison, Wisconsin at the age of 89. George left an inspiring legacy that includes publications in logic, mathematics and computer science in seven different decades. He is probably best known within SIGSAM as the inventor of cylindrical algebraic decomposition and ...",George E. Collins (1928-2017)
"Nicolás García-Pedrajas,César García-Osorio,Colin Fyfe",2019-10-15 19:18:13,https://dl.acm.org/ft_gateway.cfm?id=1248660&ftid=423014&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",October 2018,JMLR.org,51,"In this paper we propose a novel approach for ensemble construction based on the use of nonlinear projections to achieve both accuracy and diversity of individual classifiers. The proposed approach combines the philosophy of boosting, putting more effort on difficult instances, with the basis of the random subspace method. Our ...",Nonlinear Boosting Projections for Ensemble Construction
"Massimo Quadrana,Paolo Cremonesi,Dietmar Jannach",2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=3190616&ftid=1984552&dwn=1,"Sequence, algorithms, dataset, evaluation, recommendation, session, trend","ACM Computing Surveys (CSUR): Volume 51 Issue 4, September 2018",June 2018,ACM,51,"Recommender systems are one of the most successful applications of data mining and machine-learning technology in practice. Academic research in the field is historically often based on the matrix completion problem formulation, where for each user-item-pair only one interaction (e.g., a rating) is considered. In many application domains, however, multiple ...",Sequence-Aware Recommender Systems
Yoav Shoham,2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=1378721&ftid=528913&dwn=1,,"Communications of the ACM - Designing games with a purpose: Volume 51 Issue 8, August 2008",January 2018,ACM,51,The most dramatic interaction between CS and GT may involve game-theory pragmatics.,Computer science and game theory
M. R. K. Krishna Rao,2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=1151801&type=pdf,,CATS '06: Proceedings of the 12th Computing: The Australasian Theroy Symposium - Volume 51,May 2018,"Australian Computer Society, Inc.",51,"Learning from examples is an important characteristic feature of intelligence in both natural and artificial intelligent agents. In this paper, we study learnability of term rewriting systems from positive examples alone. We define a class of linear-bounded term rewriting systems that are inferable from positive examples. In linear-bounded term rewriting ...",Learnability of term rewrite systems from positive examples
Briana Morrison,2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=3355510&ftid=2078623&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 3, July 2019",December 2016,ACM,51,"For me, one of the best SIGCSE membership benefits is having access to the organization's mailing lists. We first began using an electronic listserv or mailing list in 1994 to be able to communicate with each other more easily and discuss issues and concerns beyond the conversations at conferences. The ...",SIGCSE mailing lists
"Lars Kastner,Benjamin Lorenz,Andreas Paffenholz,Anna-Lena Winz",2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=3177800&ftid=1937805&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 3, September 2017",August 2016,ACM,51,"We give an overview of the application 'fulton' for toric geometry of the software framework polymake. Using two-dimensional cyclic quotient singularities as our main example, we will show how to create toric varieties and divisors on these. The Singular interface of polymake allows one to go back to the algebraic ...",Toric geometry in polymake
SIGCSE Staff,2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=3329116&ftid=2053194&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",October 2018,ACM,51,,Deadlines and upcoming dates!
"Daniel J. Weitzner,Harold Abelson,Tim Berners-Lee,Joan Feigenbaum,James Hendler,Gerald Jay Sussman",2019-10-15 19:18:14,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5388/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",June 2018,ACM,51,"With access control and encryption no longer capable of protecting privacy, laws and systems are needed that hold people accountable for the misuse of personal information, whether public or secret.",Information accountability
,2019-10-15 19:18:14,https://dl.acm.org/ft_gateway.cfm?id=1342334&ftid=509906&dwn=1,,"Communications of the ACM - Web searching in a multilingual world: Volume 51 Issue 5, May 2008",January 2018,ACM,51,,2008 ACM Elections
,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=1314215&ftid=522435&dwn=1,,,February 2008,,51,,"Communications of the ACM - Alternate reality gaming: Volume 51 Issue 2, February 2008"
Ye Henry Tian,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=1151791&type=pdf,"correctness proofs, higher-order abstract syntax, logical framework, program transformation",CATS '06: Proceedings of the 12th Computing: The Australasian Theroy Symposium - Volume 51,May 2018,"Australian Computer Society, Inc.",51,"In this paper, we study the formalization of one-pass call-by-value CPS compilation using higher-order abstract syntax. In particular, we verify mechanically that the source program and the CPS-transformed program have the same observable behavior. A key advantage of this approach is that it avoids any administrative redexes thereby simplifying the ...",Mechanically verifying correctness of CPS compilation
"Sergei A. Abramov,Anna A. Ryabenko,Timur M. Sadykov",2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=3199653&ftid=1953588&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",December 2016,ACM,51,"The second International conference is organized jointly by Dorodnicyn Computing Center of Federal Research Center ""Computer Science and Control"" of RAS and Plekhanov Russian University of Economics with a support of the Russian Foundation for Basic Research (project 17-01-20398 17). The first edition of the event [1] (http://www.ccas.ru/ca/conference2016) was held ...",The second conference
Judithe Sheard,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=3329113&ftid=2053185&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",August 2016,ACM,51,The SIGCSE Board invites applications for the next round of SIGCSE Special Project Grants. The deadline for this round is May 15 2019.,Special projects grants
C. H. Lindsey,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=1061800&ftid=307480&dwn=1,,"ALGOL Bulletin: Issue 51, Dec. 1984",October 2018,Computer History Museum,51,,Survey of Viable ALGOL 68 Implementations
"Jim Horning,Peter G. Neumann",2019-10-15 19:18:15,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5390/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",January 2018,ACM,51,,Risks of neglecting infrastructure
James Harland,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=2523802&ftid=1391659&dwn=1,,CATS '06: Proceedings of the Twelfth Computing: The Australasian Theory Symposium - Volume 51,May 2018,"Australian Computer Society, Inc.",51,"The busy beaver is an example of a function which is not computable. It is based on a particular class of Turing machines, and is defined as the largest number of 1's that can be printed by a terminating machine with n states. Whilst there have been various quests to ...","The busy beaver, the placid platypus and other crazy creatures"
Christopher W. Brown,2019-10-15 19:18:15,https://dl.acm.org/ft_gateway.cfm?id=3200140&ftid=1953856&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",December 2016,ACM,51,,Message from the SIGSAM chair
Susan Rodger,2019-10-15 19:18:16,https://dl.acm.org/ft_gateway.cfm?id=3310220&ftid=2037841&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 1, January 2019",October 2018,ACM,51,The term of the current SIGCSE Board will be ending at the end of June. An election for a new SIGCSE Board will be held in April 2019. The election is run by ACM.,SIGCSE board 2019-2022 election slate
"Roger McDermott,Bruce Scharlau",2019-10-15 19:18:16,https://dl.acm.org/ft_gateway.cfm?id=3329106&ftid=2053193&dwn=1,,"ACM SIGCSE Bulletin: Volume 51 Issue 2, April 2019",December 2016,ACM,51,"This year, ITiCSE will be held in the North-East of Scotland, hosted by the University of Aberdeen. The Conference programme runs from 15th to 17th July with Working Groups and the Doctoral Consortium starting with a preliminary meeting on the evening of 12th July.",ITiCSE 2019 preview
,2019-10-15 19:18:16,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5383/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",August 2016,ACM,51,,Forum
Art B. Owen,2019-10-15 19:18:16,https://dl.acm.org/ft_gateway.cfm?id=1248686&ftid=423040&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",October 2018,JMLR.org,51,In binary classification problems it is common for the two classes to be imbalanced: one case is very rare compared to the other. In this paper we consider the infinitely imbalanced case where one class has a finite sample size and the other class's sample size grows without bound. For ...,Infinitely Imbalanced Logistic Regression
Maaike H.T. de Boer,2019-10-15 19:18:16,https://dl.acm.org/ft_gateway.cfm?id=3190606&ftid=1947260&dwn=1,,"ACM SIGIR Forum: Volume 51 Issue 3, December 2017",December 2016,ACM,51,"In the modern world, networked sensor technology makes it possible to capture the world around us in real-time. In the security domain cameras are an important source of information. Cameras in public places, bodycams, drones and recordings with smart phones are used for real time monitoring of the environment to ...",Semantic Mapping in Video Retrieval
"Roel Vertegaal,Ivan Poupyrev",2019-10-15 19:18:16,https://dl.acm.org/https://cacm.acm.org/magazines/2008/6/5396/fulltext,,"Communications of the ACM - Organic user interfaces: Volume 51 Issue 6, June 2008",August 2016,ACM,51,,Introduction
Oded Regev,2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=1039490&ftid=297439&dwn=1,"Lattice, average-case hardness, public key encryption, quantum computing, cryptography","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",October 2018,ACM,51,We introduce the use of Fourier analysis on lattices as an integral part of a lattice-based construction. The tools we develop provide an elegant description of certain Gaussian distributions around lattice points. Our results include two cryptographic constructions that are based on the worst-case hardness of the unique shortest vector ...,New lattice-based cryptographic constructions
Drew McDermott,2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=1045232&ftid=296568&dwn=1,,"ACM SIGART Bulletin: Issue 51, April 1975",June 2016,ACM,51,"This is a brief report on a frustrating problem (or constellation of problems) that has been a source of controversy at our lab recently. It is a summary of the ideas of many people, but, since even the formulation of the problem is controversial, your reporter is solely responsible for ...",Symbol-mapping: a technical problem in PLANNER-like systems
Drew McDermott,2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=1045232&ftid=296568&dwn=1,,"ACM SIGART Bulletin: Issue 51, April 1975",February 2008,ACM,51,"This is a brief report on a frustrating problem (or constellation of problems) that has been a source of controversy at our lab recently. It is a summary of the ideas of many people, but, since even the formulation of the problem is controversial, your reporter is solely responsible for ...",Symbol-mapping: a technical problem in PLANNER-like systems
"Ryan M. Rifkin,Ross A. Lippert",2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=1248676&ftid=423030&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",May 2018,JMLR.org,51,"Regularization is an approach to function learning that balances fit and smoothness. In practice, we search for a function f with a finite representation f = Σ i c i φ i (·). In most treatments, the c i are the primary objects of study. We consider value regularization , ...",Value Regularization and Fenchel Duality
"Jennifer Neville,David Jensen",2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=1248683&ftid=423037&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",December 2016,JMLR.org,51,"Recent work on graphical models for relational data has demonstrated significant improvements in classification and inference when models represent the dependencies among instances. Despite its use in conventional statistical models, the assumption of instance independence is contradicted by most relational data sets. For example, in citation data there are dependencies ...",Relational Dependency Networks
Andrew Rosenbloom,2019-10-15 19:18:17,https://dl.acm.org/https://cacm.acm.org/magazines/2008/1/5494/fulltext,,"Communications of the ACM - 50th anniversary issue: 1958 - 2008: Volume 51 Issue 1, January 2008",August 2016,ACM,51,,Introduction
"Zihao Shan,Kui Ren,Marina Blanton,Cong Wang",2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=3158363&ftid=1945936&dwn=1,"Cloud Computation, computation integrity, data security, large-scale dataset, privacy preservation","ACM Computing Surveys (CSUR): Volume 51 Issue 2, June 2018",October 2018,ACM,51,"The rapid development of cloud computing promotes a wide deployment of data and computation outsourcing to cloud service providers by resource-limited entities. Based on a pay-per-use model, a client without enough computational power can easily outsource large-scale computational tasks to a cloud. Nonetheless, the issue of security and privacy becomes ...",Practical Secure Computation Outsourcing: A Survey
"Evangelos Kanoulas,Jussi Karlgren",2019-10-15 19:18:17,https://dl.acm.org/ft_gateway.cfm?id=3130344&ftid=1898460&dwn=1,,"ACM SIGIR Forum: Volume 51 Issue 1, June 2017",June 2016,ACM,51,,Practical Issues in Information Access System Evaluation
"Evangelos Kanoulas,Jussi Karlgren",2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=3130344&ftid=1898460&dwn=1,,"ACM SIGIR Forum: Volume 51 Issue 1, June 2017",February 2008,ACM,51,,Practical Issues in Information Access System Evaluation
,2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=3200143&ftid=1953859&dwn=1,,"ACM Communications in Computer Algebra: Volume 51 Issue 4, December 2017",May 2018,ACM,51,"George E. Collins passed away on 21st November 2017 in Madison, Wisconsin at the age of 89. George left an inspiring legacy that includes publications in logic, mathematics and computer science in seven different decades. He is probably best known within SIGSAM as the inventor of cylindrical algebraic decomposition and ...",George E. Collins (1928-2017)
"Giorgio Ausiello,Aristotelis Giannakos,Vangelis Th. Paschos",2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=1151803&type=pdf,"budget saving, set-covering, competitive ratio, dominating set, on-line algorithm",CATS '06: Proceedings of the 12th Computing: The Australasian Theroy Symposium - Volume 51,January 2006,"Australian Computer Society, Inc.",51,"We study the following on-line model for set-covering: elements of a ground set of size n arrive one-by-one and with any such element c i , arrives also the name of some set S i 0 containing c i and covering the most of the uncovered ground set-elements (obviously, these ...",Greedy algorithms for on-line set-covering and related problems
"Pankaj K. Agarwal,Sariel Har-Peled,Kasturi R. Varadarajan",2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=1008736&ftid=268640&dwn=1,"approximation, Computational geometry","Journal of the ACM (JACM): Volume 51 Issue 4, July 2004",December 2016,ACM,51,"We present a general technique for approximating various descriptors of the extent of a set P of n points in R d when the dimension d is an arbitrary fixed constant. For a given extent measure μ and a parameter &epsiv; > 0, it computes in time O ( n ...",Approximating extent measures of points
"Cynthia Dwork,Moni Naor,Amit Sahai",2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=1039489&ftid=297438&dwn=1,"cryptographic protocols, Zero knowledge, composition","Journal of the ACM (JACM): Volume 51 Issue 6, November 2004",August 2016,ACM,51,"Concurrent executions of a zero-knowledge protocol by a single prover (with one or more verifiers) may leak information and may not be zero-knowledge in toto . In this article, we study the problem of maintaining zero-knowledge.We introduce the notion of an (α, β) timing constraint : for any two processors ...",Concurrent zero-knowledge
Brian Hayes,2019-10-15 19:18:18,https://dl.acm.org/https://cacm.acm.org/magazines/2008/7/5368/fulltext,,"Communications of the ACM - Web science: Volume 51 Issue 7, July 2008",October 2018,ACM,51,"As software migrates from local PCs to distant Internet servers, users and developers alike go along for the ride.",Cloud computing
"Ofer Melnik,Yehuda Vardi,Cun-Hui Zhang",2019-10-15 19:18:18,https://dl.acm.org/ft_gateway.cfm?id=1248688&ftid=423042&dwn=1,,"The Journal of Machine Learning Research: Volume 8, 5/1/2007",June 2016,JMLR.org,51,"Rankboost has been shown to be an effective algorithm for combining ranks. However, its ability to generalize well and not overfit is directly related to the choice of weak learner, in the sense that regularization of the rank function is due to the regularization properties of its weak learners. We ...",Concave Learners for Rankboost
